stockidname,type
3294英濟,電子零件元件
3296勝德,電子零件元件
3297杭特,消費性電子產品
3303岱稜,電子其他
3305昇貿,印刷電路板相關/封測服務與材料
3306鼎天,通訊設備
3308聯德,電子零件元件
3310佳穎,車用金屬成型/電子零件元件/封測服務與材料
3311閎暉,汽機車零組件/穿戴式裝置
3312弘憶股,電子通路
3313斐成,大宗物資/農林漁牧
3317尼克森,分離式元件
3321同泰,印刷電路板相關
3322建舜電,電子零件元件/週邊產品
3323加百裕,電子零件元件/電力設備
3324雙鴻,電子零件元件
3325旭品,電子零件元件
3332幸康,電子零件元件
3338泰碩,電子零件元件
3339泰谷,LED
3346麗清,LED
3349寶德,電聲產品/週邊產品
3354律勝,印刷電路板相關
3356奇偶,消費性電子產品
3357臺慶科,被動元件/電子零件元件
3360尚立,數位相機/電子通路
3362先進光,數位相機
3363上詮,光通訊
3372典範,IC封裝測試
3373熱映,設備儀器廠商/診斷與監測用醫材
3374精材,IC封裝測試
3376新日興,電子零件元件
3379彬台,機械
3380明泰,通訊設備
3388崇越電,化學工業
3390旭軟,印刷電路板相關
3402漢科,電子其他
3406玉晶光,數位相機/LED
3413京鼎,設備儀器廠商
3416融程電,電腦系統業
3419譁裕,通訊設備/光通訊
3426台興,電力設備/電子通路
3430奇鈦科,化學工業
3432台端,電子零件元件
3434哲固,消費性電子產品/電腦系統業
3437榮創,LED
3438類比科,IC設計
3441聯一光,數位相機/傳產其他
3443創意,IC設計
3444利機,電子通路
3447展達,通訊設備/光通訊/消費性電子產品
3450聯鈞,IC封裝測試/光通訊
3454晶睿,消費性電子產品
3455由田,設備儀器廠商
3465進泰電子,電子零件元件
3466致振,消費性電子產品
3479安勤,電腦系統業
3481群創,面板業
3483力致,電子零件元件
3484崧騰,電子零件元件
3489森寶,營造工程/地產
3490單井,太陽能/設備儀器廠商
3491昇達科,通訊設備
3492長盛,電子零件元件
3494誠研,週邊產品
3498陽程,機械/設備儀器廠商
3499環天科,通訊設備
3501維熹,電子零件元件
3504揚明光,顯示器/數位相機/週邊產品
3508位速,電子零件元件/設備儀器廠商
3511矽瑪,電子零件元件
3512皇龍,電子零件元件/地產
3515華擎,電腦系統業
3516亞帝歐,電子零件元件/LED
3518柏騰,電子零件元件
3520華盈,電子零件元件/通訊設備/軟體業
3521鴻翊,營造工程/電腦系統業
3522御頂,旅館、餐飲
3523迎輝,面板零組件
3526凡甲,電子零件元件
3527聚積,IC設計
3528安馳,電子通路
3529力旺,IC設計
3530晶相光,IC設計
3531先益,面板零組件
3532台勝科,IC製造
3533嘉澤,電子零件元件
3535晶彩科,設備儀器廠商
3536誠創,分離式元件
3537堡達,被動元件/電子通路
3540曜越,電子零件元件
3541西柏,消費性電子產品
3543州巧,家居用品/電子零件元件
3545敦泰,手機零組件/IC設計
3546宇峻,遊戲產業
3548兆利,電子零件元件
3550聯穎,電子零件元件
3551世禾,設備儀器廠商
3552同致,車用電子
3555重鵬,食品加工/電子通路
3556禾瑞亞,IC設計
3557嘉威,家居用品
3558神準,通訊設備
3563牧德,設備儀器廠商
3564其陽,通訊設備
3567逸昌,IC封裝測試
3570大塚,軟體業
3576聯合再生,太陽能
3577泓格,電腦系統業
3580友威科,設備儀器廠商
3581博磊,設備儀器廠商/封測服務與材料
3583辛耘,IC製造/設備儀器廠商
3587閎康,設備儀器廠商
3588通嘉,IC設計
3591艾笛森,LED
3592瑞鼎,手機零組件/IC設計
3593力銘,電子零件元件
3594磐儀,電腦系統業
3596智易,通訊設備/消費性電子產品
3597映興,電子零件元件/電子通路
3605宏致,電子零件元件
3607谷崧,電子零件元件
3609三一東林,電子零件元件/車輛整車
3611鼎翰,週邊產品
3615安可,面板零組件
3617碩天,電子零件元件/週邊產品
3622洋華,電線電纜/面板業
3623富晶通,面板業
3624光頡,被動元件
3625西勝,電子零件元件/電力設備
3628盈正,電子零件元件/電力設備
3629地心引力,遊戲產業
3630新鉅科,數位相機
3631晟楠,印刷電路板相關/封測服務與材料
3632研勤,車用電子/旅館、餐飲
3642駿熠電,橡膠工業/手機零組件
3645達邁,印刷電路板相關
3646艾恩特,機械/電子零件元件
3652精聯,電腦系統業
3653健策,電子零件元件/封測服務與材料
3661世芯-KY,IC設計
3663鑫科,電子化工材料/傳產其他
3664安瑞-KY,通訊設備/軟體業
3665貿聯-KY,電子零件元件/電線電纜
3666光耀,面板零組件
3669圓展,消費性電子產品
3672康聯訊,光通訊
3673TPK-KY,面板零組件/面板業
3675德微,分離式元件
3679新至陞,電子零件元件
3680家登,車輛整車/設備儀器廠商
3682亞太電,通訊服務
3684榮昌,電子零件元件/通訊設備
3685元創精密,汽機車零組件
3686達能,太陽能
3687歐買尬,軟體業/遊戲產業/文化創意產業
3689湧德,電子零件元件
3691碩禾,太陽能
3693營邦,電子零件元件/電腦系統業
3694海華,通訊設備
3701大眾控,車用電子/控股公司/消費性電子產品/電腦系統業
3702大聯大,控股公司/電子通路
3703欣陸,營造工程/控股公司
3704合勤控,通訊設備/光通訊/控股公司
3705永信,控股公司/生物科技/醫藥產業
3706神達,車用電子/通訊設備/控股公司/週邊產品/電腦系統業
3707漢磊,IC製造/控股公司
3708上緯投控,化學工業/傳產其他
3709鑫聯大投控,電子通路
3710連展投控,電子零件元件/通訊設備/控股公司
3711日月光投控,IC封裝測試
3712永崴投控,電子零件元件/數位相機/光通訊/控股公司/電力/電子其他/電子通路/週邊產品
3713新晶投控,太陽能
3714富采,LED
3715定穎投控,控股公司/印刷電路板相關
4102永日,生物科技/醫藥產業
4104佳醫,手術與治療用醫材/醫藥產業/醫療器材通路/醫療管理服務
4105東洋,醫藥產業
4106雃博,手術與治療用醫材/輔助與彌補用醫材
4107邦特,手術與治療用醫材/其他醫療器材
4108懷特,生物科技/醫藥產業
