stock_id,stock_name,market,industry,type
4111,濟生,上櫃,生技醫療業,醫藥產業
4113,聯上,上櫃,建材營造業,地產
4114,健喬,上櫃,生技醫療業,生物科技/醫藥產業
4116,明基醫,上櫃,生技醫療業,其他醫療器材/診斷與監測用醫材/輔助與彌補用醫材
4119,旭富,上市,生技醫療業,醫藥產業
4120,友華,上櫃,生技醫療業,生物科技/醫藥產業
4121,優盛,上櫃,生技醫療業,體外診斷用醫材/醫藥產業/診斷與監測用醫材
4123,晟德,上櫃,生技醫療業,醫藥產業
4126,太醫,上櫃,生技醫療業,其他醫療器材
4127,天良,上櫃,生技醫療業,生物科技/醫藥產業
4128,中天,上櫃,生技醫療業,生物科技/醫藥產業
4129,聯合,上櫃,生技醫療業,輔助與彌補用醫材
4130,健亞,上櫃,生技醫療業,醫藥產業
4131,晶宇,上櫃,生技醫療業,體外診斷用醫材
4133,亞諾法,上市,生技醫療業,體外診斷用醫材/醫藥產業
4137,麗豐-KY,上市,生技醫療業,時尚產業
4138,曜亞,上櫃,生技醫療業,手術與治療用醫材/醫療器材通路
4139,馬光-KY,上櫃,生技醫療業,醫療管理服務
4142,國光生,上市,生技醫療業,醫藥產業
4147,中裕,上櫃,生技醫療業,醫藥產業
4148,全宇生技-KY,上市,生技醫療業,生物科技/化學工業
4153,鈺緯,上櫃,生技醫療業,顯示器/電腦系統業
4154,樂威科-KY,上櫃,生技醫療業,傳產其他
4155,訊映,上市,生技醫療業,體外診斷用醫材
4157,太景*-KY,上櫃,生技醫療業,醫藥產業
4160,創源,上櫃,生技醫療業,生物科技/診斷與監測用醫材/醫療管理服務
4161,聿新科,上櫃,生技醫療業,生物科技/體外診斷用醫材/時尚產業
4162,智擎,上櫃,生技醫療業,醫藥產業
4163,鐿鈦,上櫃,生技醫療業,其他醫療器材/輔助與彌補用醫材/傳產其他
4164,承業醫,上市,生技醫療業,控股公司/醫藥產業/醫療器材通路/醫療管理服務
4167,松瑞藥,上櫃,生技醫療業,醫藥產業
4168,醣聯,上櫃,生技醫療業,醫藥產業
4171,瑞基,上櫃,農業科技業,生物科技/體外診斷用醫材
4173,久裕,上櫃,生技醫療業,醫藥產業
4174,浩鼎,上櫃,生技醫療業,醫藥產業
4175,杏一,上櫃,生技醫療業,醫藥產業/醫療器材通路
4183,福永生技,上櫃,生技醫療業,體外診斷用醫材
4188,安克,上櫃,生技醫療業,診斷與監測用醫材
4190,佐登-KY,上市,生技醫療業,時尚產業
4192,杏國,上櫃,生技醫療業,醫藥產業
4198,欣大健康,上櫃,生技醫療業,診斷與監測用醫材
4205,中華食,上櫃,食品工業,食品加工
4207,環泰,上櫃,食品工業,大宗物資
4303,信立,上櫃,塑膠工業,石化業
4304,勝昱,上櫃,塑膠工業,石化業/化學工業
4305,世坤,上櫃,塑膠工業,石化業
4306,炎洲,上市,塑膠工業,石化業/化學工業
4401,東隆興,上櫃,紡織纖維,化纖原料/紡織中游
4402,福大,上櫃,紡織纖維,紡織中游
4406,新昕纖,上櫃,紡織纖維,化纖原料
4413,飛寶企業,上櫃,紡織纖維,成衣/紡織中游
4414,如興,上市,紡織纖維,成衣
4416,三圓,上櫃,建材營造業,地產
4417,金洲,上櫃,紡織纖維,紡織中游
4419,元勝,上櫃,紡織纖維,紡織中游/旅館、餐飲
4420,光明,上櫃,紡織纖維,化纖原料
4426,利勤,上市,紡織纖維,紡織中游/傳產其他
4430,耀億,上櫃,其他業,化纖原料/紡織中游
4432,銘旺實,上櫃,紡織纖維,成衣
4433,興采,上櫃,紡織纖維,成衣/紡織中游
4438,廣越,上市,紡織纖維,成衣/紡織中游
4439,冠星-KY,上市,紡織纖維,紡織中游
4440,宜新實業,上市,紡織纖維,紡織中游
4502,健信,上櫃,電機機械,汽機車零組件
4503,金雨,上櫃,電機機械,電力設備/電腦系統業/傳產其他
4506,崇友,上櫃,電機機械,建材
4510,高鋒,上櫃,電機機械,機械
4513,福裕,上櫃,電機機械,機械
4523,永彰,上櫃,電機機械,機械/電力設備/汽車內裝
4526,東台,上市,電機機械,機械/印刷電路板相關
4527,方土霖,上櫃,電機機械,機械
4528,江興鍛,上櫃,電機機械,機械/汽機車零組件/車用金屬成型
4529,淳紳,上櫃,其他業,車輛整車
4530,宏易,上櫃,電機機械,汽車內裝/旅館、餐飲
4532,瑞智,上市,電機機械,機械
4533,協易機,上櫃,電機機械,機械
4534,慶騰,上櫃,電機機械,傳產其他
4535,至興,上櫃,電機機械,汽機車零組件/汽車內裝
4536,拓凱,上市,其他業,航天軍工/傳產其他/運動產業
4538,大詠城,上櫃,電機機械,機械
4540,全球傳動,上市,電機機械,機械
4541,晟田,上櫃,其他業,機械/航天軍工
4542,科嶠,上櫃,電子零組件業,設備儀器廠商
4543,萬在,上櫃,電機機械,汽機車零組件/汽車內裝
4545,銘鈺,上市,電子零組件業,機械/電子零件元件
4549,桓達,上櫃,電機機械,機械
4550,長佳,上櫃,電機機械,營造工程/休閒娛樂/電力設備
4551,智伸科,上市,汽車工業,汽機車零組件/傳產其他
4552,力達-KY,上市,電機機械,機械
4554,橙的,上櫃,其他電子業,車用電子
4555,氣立,上市,電機機械,機械
4556,旭然,上櫃,其他業,水資源
4557,永新-KY,上市,汽車工業,汽機車零組件
4558,寶緯,上櫃,電機機械,非鐵金屬/建材
4560,強信-KY,上市,電機機械,機械
4561,健椿,上櫃,電機機械,機械
4562,穎漢,上市,電機機械,機械
4563,百德,上櫃,電機機械,機械
4564,元翎,上市,電機機械,汽車內裝/傳產其他
